Country/Territory	DrugGroup
Zambia	Precursors
Zambia	Sedatives and Tranquillizers
Zambia	Sedatives and Tranquillizers
Zambia	Substances not under international control
Zambia	Substances not under international control
Zambia	Cannabis-type
Zambia	Cannabis-type
Zambia	Cannabis-type
Zambia	Cannabis-type
Zambia	Cocaine-type
Zambia	Opioids
Zambia	Opioids
Zambia	Sedatives and Tranquillizers
Zambia	Substances not under international control
Zambia	ATS
Zambia	Cannabis-type
Zambia	Cannabis-type
Zambia	Cannabis-type
Zambia	Cocaine-type
Zambia	Opioids
Zambia	Other miscellaneous
Zambia	Sedatives and Tranquillizers
Zambia	Sedatives and Tranquillizers
Zambia	Substances not under international control
Zambia	Substances not under international control
Benin	Cannabis-type
Benin	Cocaine-type
Benin	Opioids
Benin	Opioids
Benin	Substances not under international control
Benin	ATS
Benin	Cannabis-type
Benin	Cocaine-type
Benin	Opioids
Benin	Opioids
Benin	Sedatives and Tranquillizers
Benin	ATS
Benin	ATS
Benin	Cannabis-type
Benin	Cocaine-type
Benin	Opioids
Benin	Opioids
Benin	Opioids
Benin	Precursors
Benin	Sedatives and Tranquillizers
Benin	ATS
Benin	Cannabis-type
Benin	Cocaine-type
Benin	Opioids
Benin	Precursors
Benin	ATS
Benin	Cannabis-type
Benin	Cocaine-type
Benin	Opioids
Benin	Opioids
Burkina Faso	ATS
Burkina Faso	Cannabis-type
Burkina Faso	Cocaine-type
Burkina Faso	Opioids
Burkina Faso	Cannabis-type
Burkina Faso	Cocaine-type
Burkina Faso	Non-specified
Burkina Faso	Opioids
Cabo Verde	Cannabis-type
Cabo Verde	Cocaine-type
Central African Republic	Cannabis-type
Central African Republic	Cannabis-type
Central African Republic	Cocaine-type
Central African Republic	Opioids
Central African Republic	Sedatives and Tranquillizers
Central African Republic	Substances not under international control
Chad	Cannabis-type
Chad	Cannabis-type
Chad	Opioids
Chad	Sedatives and Tranquillizers
Chad	Sedatives and Tranquillizers
Chad	Cannabis-type
Chad	Substances not under international control
Chad	Substances not under international control
Côte d'Ivoire	Cannabis-type
Côte d'Ivoire	Cannabis-type
Côte d'Ivoire	Cocaine-type
Côte d'Ivoire	Opioids
Côte d'Ivoire	Sedatives and Tranquillizers
Côte d'Ivoire	ATS
Côte d'Ivoire	Cannabis-type
Côte d'Ivoire	Cannabis-type
Côte d'Ivoire	Cannabis-type
Côte d'Ivoire	Cocaine-type
Côte d'Ivoire	Opioids
Côte d'Ivoire	Opioids
Côte d'Ivoire	Sedatives and Tranquillizers
Côte d'Ivoire	Cannabis-type
Côte d'Ivoire	Cannabis-type
Côte d'Ivoire	Cocaine-type
Côte d'Ivoire	Opioids
Côte d'Ivoire	Opioids
Côte d'Ivoire	Precursors
Côte d'Ivoire	Sedatives and Tranquillizers
Côte d'Ivoire	Sedatives and Tranquillizers
Côte d'Ivoire	Cannabis-type
Côte d'Ivoire	Cannabis-type
Côte d'Ivoire	Cocaine-type
Côte d'Ivoire	Cocaine-type
Côte d'Ivoire	Opioids
Côte d'Ivoire	Opioids
Côte d'Ivoire	Precursors
Côte d'Ivoire	Sedatives and Tranquillizers
Côte d'Ivoire	Sedatives and Tranquillizers
Côte d'Ivoire	ATS
Côte d'Ivoire	Cannabis-type
Côte d'Ivoire	Cannabis-type
Côte d'Ivoire	Cannabis-type
Côte d'Ivoire	Cocaine-type
Côte d'Ivoire	Opioids
Côte d'Ivoire	Opioids
Côte d'Ivoire	Precursors
Côte d'Ivoire	Sedatives and Tranquillizers
Gambia	Cannabis-type
Gambia	Cannabis-type
Gambia	Cocaine-type
Gambia	Opioids
Gambia	Sedatives and Tranquillizers
Gambia	Sedatives and Tranquillizers
Gambia	Sedatives and Tranquillizers
Gambia	Cannabis-type
Gambia	Cannabis-type
Gambia	Cocaine-type
Gambia	Sedatives and Tranquillizers
Gambia	Cannabis-type
Gambia	Cannabis-type
Gambia	Cocaine-type
Gambia	Opioids
Gambia	Opioids
Gambia	Sedatives and Tranquillizers
Gambia	Sedatives and Tranquillizers
Ghana	Cannabis-type
Ghana	Cannabis-type
Ghana	Opioids
Ghana	Substances not under international control
Ghana	ATS
Ghana	ATS
Ghana	Cannabis-type
Ghana	Cannabis-type
Ghana	Cocaine-type
Ghana	Non-specified
Ghana	Opioids
Ghana	ATS
Ghana	Cannabis-type
Ghana	Cocaine-type
Ghana	Opioids
Ghana	Cannabis-type
Ghana	Cocaine-type
Ghana	Opioids
Ghana	Other miscellaneous
Ghana	ATS
Ghana	Cannabis-type
Ghana	Cocaine-type
Ghana	Opioids
Ghana	Other miscellaneous
Guinea	Opioids
Liberia	Cannabis-type
Liberia	Cocaine-type
Liberia	Opioids
Liberia	Opioids
Liberia	Cannabis-type
Liberia	Cocaine-type
Liberia	Opioids
Liberia	Cannabis-type
